Gender,SSC (%),HSC/Diploma (%),Visual,Aural,Read/Write,Kinesthetic ,Learning_Style
Female,98.2,88,13,7,10,11,Visual
Female,92.4,93.69,9,10,6,13,Kinesthetic
Female,89.2,82.15,7,8,2,10,Kinesthetic
Female,94.4,72,4,10,5,11,"Aural,Kinesthetic"
Male,91.4,85.27,10,9,8,7,"Visual,Aural"
Male,88,93,16,16,1,16,"Visual,Aural,Kinesthetic"
Male,84.65,63.69,7,6,4,6,"Visual,Aural,Kinesthetic"
Male,81.4,94.51,4,13,10,14,"Aural,Kinesthetic"
Male,86.9,69,6,12,6,15,Kinesthetic
Female,77.4,92.4,9,10,6,13,Kinesthetic
Female,92,95,10,13,12,14,"Aural,Kinesthetic"
Female,90.8,71,10,12,9,6,Aural
Male,83.4,93.49,13,15,4,15,"Aural,Kinesthetic"
Male,93,74,4,5,5,13,Kinesthetic
Male,83,68,9,14,3,14,"Aural,Kinesthetic"
Male,92.4,74.77,10,14,7,13,"Aural,Kinesthetic"
Male,86.2,81.69,4,9,3,12,Kinesthetic
Male,90.8,85.08,11,11,0,5,"Visual,Aural"
Male,88,71.54,1,5,2,10,Kinesthetic
Male,86.6,77.7,6,14,12,13,"Aural,Kinesthetic"
Male,77.66,79.69,9,11,3,14,Kinesthetic
Female,80,65,9,10,3,12,Kinesthetic
Male,92.2,80,9,10,3,12,Kinesthetic
Male,95,81,13,4,5,15,Kinesthetic
Male,78.6,91.33,7,5,2,13,Kinesthetic
Male,68,85,4,5,3,8,Kinesthetic
Female,83,92,4,7,3,9,Kinesthetic
Male,83,69,2,8,3,8,"Aural,Kinesthetic"
Male,83,85,8,5,6,12,Kinesthetic
Male,85,89,7,3,1,4,Visual
Male,78.18,85.33,6,7,1,8,Kinesthetic
Male,93,97,9,15,5,14,"Aural,Kinesthetic"
Male,93,98,0,8,2,8,"Aural,Kinesthetic"
Male,90,93,4,11,4,14,Kinesthetic
Male,91.4,96.5,13,7,5,13,"Visual,Kinesthetic"
Female,91.6,87.67,13,7,5,14,"Visual,Kinesthetic"
Male,90,83,8,7,6,9,"Visual,Kinesthetic"
Male,88,81,13,4,11,12,"Visual,Kinesthetic"
Female,91.4,94,9,8,7,14,Kinesthetic
Male,93,83,9,8,7,14,Kinesthetic
Male,74.04,83.2,9,11,3,14,Kinesthetic
Male,86.67,93.33,11,12,2,13,"Aural,Kinesthetic"
Male,84.6,94.17,10,6,7,10,"Visual,Kinesthetic"
Male,91,94.17,7,8,5,7,"Visual,Kinesthetic"
Female,85,71.38,11,16,1,15,"Aural,Kinesthetic"
Male,71.45,72.65,8,9,6,15,Kinesthetic
Female,77,84,11,11,7,13,"Visual,Aural"
Female,89.8,97.83,11,9,2,9,Visual
Female,91.4,95.6,14,12,6,8,Visual
Male,66.6,82,4,8,5,9,"Aural,Kinesthetic"
Male,91,93,10,1,6,6,Visual
Male,92,58.83,5,6,3,7,"Aural,Kinesthetic"
Male,85,92,5,9,3,10,Kinesthetic
Male,85,93,9,5,3,8,"Visual,Kinesthetic"
Female,91,91,6,10,4,9,Aural
Male,73,89,6,14,2,16,Kinesthetic
Female,95.8,94.5,1,12,8,9,Aural
Female,73,84,8,14,12,9,Aural
Female,85.8,81,7,6,5,7,"Aural,Kinesthetic"
Male,89,70,5,10,4,13,Kinesthetic
Male,88.2,58.83,16,14,12,13,"Arual,Kinesthetic"
Male,84.8,51,5,12,5,6,Arual
Male,72.2,50,5,12,5,8,Aural
Male,78.2,57.17,5,2,4,5,"Visual,Kinesthetic"
Male,87,56,3,3,3,8,"Visual,Aural,Read/Write"
Male,81,52,6,10,6,10,"Aural,Kinesthetic "
Male,91.4,56,4,4,2,6,Kinesthetic
Male,87,48,8,12,7,8,Aural
Male,85,75.17,1,7,0,11,Kinesthetic
Female,83.2,62,3,8,8,10,Kinesthetic
Female,75,86.63,8,15,12,10,Arual
Female,94.2,73,8,10,2,9,Arual
Male,83,69,3,8,2,8,"Arual,Kinesthetic"
Male,83.4,90.5,8,14,12,7,Aural
Female,92.4,93.6,9,14,7,12,Aural
Female,92.4,93.17,3,6,2,8,Kinesthetic
Male,79,92,2,4,6,4,Read/Write
Male,86,91.8,13,10,12,13,"Visual,Kinesthetic"
Female,84,90.17,13,8,12,10,"Visual,Read/Write"
Female,92,76.16,9,12,10,8,Arual
Male,78.6,91.33,5,2,3,10,Kinesthetic
Female,92.8,88.6,10,3,5,7,Visual
Female,90.6,96.83,11,4,0,8,Visual
Male,88.4,91.14,2,7,1,10,Kinesthetic
Male,82,76,5,10,8,12,Kinesthetic
Female,89.8,95.17,10,14,8,10,Arual
Female,96.6,97.5,11,10,3,12,"Kinesthetic,Visual"
Female,90,89.5,9,10,6,10,"Aural,Kinesthetic"
Female,87,92,9,10,4,11,"Aural,Kinesthetic"
Male,79.79,89.33,9,9,2,13,kinesthetic 
Male,89.2,89.8,4,9,7,4,Aural
Male,80,70,4,10,3,10,"Aural,Kinesthetic "
Male,83,93,12,9,4,12,"Visual,Kinesthetic "
Male,84.8,90.83,3,6,1,12,Kinesthetic 
Male,84,80,11,3,2,15,Kinesthetic 
Male,78,87,6,6,9,11,Kinesthetic 
Female,85,75.54,7,13,7,13,"Aural,Kinesthetic "
Female,93.8,92,7,8,1,14,Kinesthetic 
Male,89.4,69.15,5,4,5,2,"Visual,Read/Write,Aural"
Male,82.69,82.83,4,6,4,12,Kinesthetic 
Female,95.2,81.56,16,5,2,4,Visual
Male,80,70,14,8,7,4,Visual
Male,81.6,60,15,15,14,13,"Visual,Aural,Read/Write"
Male,92,67,12,10,8,5,Visual
Male,91.6,56.4,5,12,8,9,Aural
Male,91,84,7,10,12,8,Read/Write
